url,headline,datetime,fact_check_details,organization,caa
https://factcheck.afp.com//video-does-not-show-saddam-hussein-making-reference-covid-19,This video does not show Saddam Hussein making a reference to COVID-19,3/30/20,"A video of former Iraqi dictator Saddam Hussein has been shared repeatedly on Facebook, Twitter and Instagram alongside a claim it shows him stating the US threatened to spread the novel coronavirus, COVID-19, in Iraq during a meeting in the 1990s. The claim is false; the video's audio has been doctored to include a reference to COVID-19; the original Associated Press archive footage does not include any reference to COVID-19.",AFP,No
https://factcheck.afp.com//video-shows-police-officers-arresting-protesters-hong-kong-august-2019,This video shows police officers arresting protesters in Hong Kong in August 2019,3/27/20,"A video has been viewed thousands of times in multiple posts on Facebook, Twitter and YouTube which claim it shows Chinese police arresting people infected with the novel coronavirus, COVID-19. The claim is false; the video shows police arresting pro-democracy protesters at a subway station in Hong Kong in August 2019.",AFP,No
https://factcheck.afp.com//us-president-donald-trump-did-not-announce-coronavirus-vaccine-was-ready,US President Donald Trump did not announce a coronavirus vaccine was 'ready',3/26/20,"A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook, Twitter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus, COVID-19, was ""ready"" to be administered. The claim is false; neither Trump nor the pharmaceutical executive make any reference to a vaccine being ""ready"" for distribution; as of March 2020, the World Health Organization (WHO) states there is not yet a vaccine for COVID-19.",AFP,No
https://factcheck.afp.com//indian-health-authorities-refute-myth-juiced-vegetables-can-cure-covid-19,Indian health authorities refute myth that juiced vegetables can cure COVID-19,3/24/20,"A post has been shared repeatedly in multiple posts on Facebook, Twitter and Whatsapp which claims a regional government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus, COVID-19. The claim is false; Indian authorities dismissed the claim, calling it “absolutely false”; health experts said there is no evidence the vegetable is an effective remedy for COVID-19.",AFP,No
https://factcheck.afp.com//indian-authorities-refute-fake-advisory-which-claimed-disinfectant-would-be-sprayed-across-india,Indian authorities refute 'fake' advisory which claimed disinfectant would be sprayed across India to tackle COVID-19,3/23/20,"A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying. The claim is false; Indian authorities said the advisory was ""fake"" and that no such measure had been announced.",AFP,No
https://factcheck.afp.com//unicef-officials-refute-false-claim-agency-released-coronavirus-prevention-guidelines,UNICEF officials refute false claim that agency released coronavirus prevention guidelines,3/10/20,,AFP,No
https://factcheck.afp.com//afp-photo-taken-during-anti-citizenship-law-protests-lucknow-india-december-2019,"This is an AFP photo taken during anti-citizenship law protests in Lucknow, India in December 2019",3/9/20,"A photo of a policeman throwing an object has been shared repeatedly in multiple Facebook and Twitter posts which claim it shows a policeman participating in sectarian violence in the Indian capital of Delhi in February 2020. The claim is false; the image is an AFP photo of a police officer taken in December 2019 during clashes with anti-citizenship law protesters in Lucknow, a major city in north India.",AFP,Yes
https://factcheck.afp.com//afp-photo-policeman-threatening-child-baton-during-clashes-bangladesh-2010,This is an AFP photo of a policeman threatening a child with a baton during clashes in Bangladesh in 2010,3/4/20,A photo has been shared tens of thousands of times in social media posts in India which claim it shows a Delhi police officer threatening a child with his baton during anti-citizenship law protests in the country’s capital. The claim is false; this photo actually shows a Bangladeshi police officer raising his baton at a child during a protest in Dhaka in 2010.,AFP,Yes
https://factcheck.afp.com//experts-india-refute-misleading-claim-china-made-holi-festival-goods-are-infected-coronavirus,Experts in India refute misleading claim that China-made Holi festival goods are infected with coronavirus,2/27/20,"A claim that Chinese goods imported for the Holi festival in India should be avoided because they are infected with the novel coronavirus has been shared multiple times on Facebook, Twitter and WhatsApp. The claim is misleading; the World Health Organization (WHO) told AFP that the virus does not last long on inanimate surfaces, so it is unlikely imported goods would remain infectious; the Toy Association of India told AFP the virus would not survive on a shipment of Holi festival items as the journey from China generally takes at least two weeks.  ",AFP,No
https://factcheck.afp.com//indian-health-authority-refutes-hoax-report-coronavirus-case-uttar-pradesh-district,Indian health authority refutes hoax report of coronavirus case in Uttar Pradesh district,2/24/20,"A claim that a man infected with an acute case of novel coronavirus has been admitted to a hospital in a town in Uttar Pradesh, India has been shared multiple times on Facebook and Twitter. This claim is false; the district’s health authority said there are no confirmed novel coronavirus patients in the area.",AFP,No
