url,headline,datetime,fact_check_details,organization,caa
https://www.indiatoday.in/fact-check/story/shahrukh-delhi-violence-1650347-2020-02-26,Fact Check: Delhi’s infamous Shahrukh has nothing to do with this budding actor,"UPDATED: Feb 27, 2020 18:34 IST",ConclusionAnurag Mishra and Shahrukh are two different people,India Today,No
https://www.indiatoday.in/fact-check/story/tasbih-muslims-maharashtra-1624274-2019-12-02,Fact Check: The truth behind police distributing ‘tasbih’ to Muslims in Maharashtra,"UPDATED: Dec 2, 2019 13:44 IST",ConclusionThe viral video is from the National Integration Week observed every year.,India Today,No
https://www.indiatoday.in/fact-check/story/fact-check-coronavirus-hold-breath-1658725-2020-03-23,Fact Check: Holding breath for 10 seconds is not a coronavirus test,"UPDATED: Mar 23, 2020 14:25 IST","ConclusionNo, you can’t test for coronavirus like this",India Today,No
https://www.indiatoday.in/fact-check/story/fake-news-dcp-amit-sharma-1649984-2020-02-25,Fact Check: Fake news about DCP’s death in Delhi violence goes viral,"UPDATED: Feb 25, 2020 22:24 IST","ConclusionTill the time of filing this story, DCP Sharma was out of danger.",India Today,Yes
https://www.indiatoday.in/fact-check/story/fact-check-viral-sanitiser-burn-1659085-2020-03-24,Fact Check: Do you risk burning your hands after applying sanitisers?,"UPDATED: Mar 24, 2020 14:12 IST",ConclusionIt is a hoax. Alcohol in hand sanitisers evaporate completely once applied on the hands,India Today,No
https://www.indiatoday.in/fact-check/story/billboard-australia-islam-claim-fact-check-1655189-2020-03-13,Fact Check: This viral sign taking a dig at Islam is not a real billboard,"UPDATED: Mar 13, 2020 15:54 IST",ConclusionNo such hoarding has been put up. The image was created through an app.,India Today,No
https://www.indiatoday.in/fact-check/story/fact-check-detention-centre-baby-mother-1631989-2019-12-27,Fact check: Pic of woman breastfeeding baby across fence is not from detention camp in India ,"UPDATED: Dec 27, 2019 16:34 IST",ConclusionThe image is from Argentina.,India Today,Yes
https://www.indiatoday.in/fact-check/story/nepali-tiktok-starts-fact-check-finnish-minister-1632424-2019-12-29,Fact Check: Nepali Tiktok stars photo passed off as Finnish ministers,"UPDATED: Dec 30, 2019 02:58 IST",ConclusionThis is a viral image of four Tiktok stars in Nepal. ,India Today,No
https://www.indiatoday.in/fact-check/story/fact-check-naseemuddin-siddiqui-amit-malviya-sambit-patra-1633410-2020-01-02,Fact check: Nasimuddin Siddiqui targetted for a radical Muslim comment that he didn't make ,"UPDATED: Jan 2, 2020 17:29 IST",ConclusionThe person seen in the viral video is Samajwadi leader Maviya Ali and not Nasimmudin Siddiqui.,India Today,No
https://www.indiatoday.in/fact-check/story/china-permission-court-kill-thousands-coronavirus-petients-viral-1644347-2020-02-07,"Fact Check: No, China has not sought permission to kill 20,000 coronavirus patients","UPDATED: Feb 9, 2020 05:19 IST","ConclusionNo media outlet has reported it. Also, the claim originates from a rather suspicious website.",India Today,No
https://www.indiatoday.in/fact-check/story/akshay-kumar-nathuram-godse-mahatma-gandhi-tweet-viral-1624249-2019-12-01,"Fact Check: No, Akshay Kumar never said this about Nathuram Godse","UPDATED: Dec 1, 2019 22:55 IST",ConclusionThe viral post is the screenshot of a tweet from a fake account.,India Today,No
https://www.indiatoday.in/fact-check/story/viral-audio-clip-coronavirus-not-dr-devi-shetty-1657486-2020-03-19,Fact Check: This viral audio clip on coronavirus is not Dr Devi Shetty's,"UPDATED: Mar 19, 2020 16:45 IST","ConclusionThe viral clip has been falsely attributed to Dr Devi Shetty.
",India Today,No
https://www.indiatoday.in/fact-check/story/picture-coffins-no-relation-covid19-coronavirus-deaths-italy-1658475-2020-03-22,Fact Check: This picture of coffins has no relation to Covid-19 deaths in Italy,"UPDATED: Mar 22, 2020 18:58 IST",ConclusionThe picture is indeed from Italy but is seven years old and has nothing to do with the coronavirus outbreak.,India Today,No
https://www.indiatoday.in/fact-check/story/has-covid19-lockdown-returned-dolphins-swans-italian-waterways-1658457-2020-03-22,Fact Check: Has the Covid-19 lockdown returned dolphins and swans to Italian waterways?,"UPDATED: Mar 22, 2020 16:38 IST",ConclusionSuch sightings are not a new phenomena and have no relation to the lockdown.,India Today,No
https://www.indiatoday.in/fact-check/story/woman-slapping-girl-viral-linking-caa-flash-mob-1637219-2020-01-15,Fact Check: Hilarious video of woman slapping girl goes viral linking it to CAA,"UPDATED: Jan 16, 2020 00:15 IST",ConclusionFour-year-old video of flash mob dance has no relation to CAA.,India Today,Yes
